feature,shap_importance
spo2_mean,0.05164122712694021
respiration_rate_mean,0.049029107022927114
temperature_mean,0.037119481167672885
heart_rate_mean,0.03580047262342575
respiration_rate_std,0.030189985714083267
blood_pressure_sys_mean,0.025581082961234833
alarm_count,0.025011082831414278
alarm_rate,0.021751380611208675
blood_pressure_dia_std,0.012527803512310458
blood_pressure_dia_mean,0.0
temperature_std,0.0
fever,0.0
tachycardia,0.0
hypoxia,0.0
shock_index,0.0
n_readings,0.0
critical_count,0.0
heart_rate_max,0.0
mean_arterial_pressure_std,0.0
mean_arterial_pressure_max,0.0
mean_arterial_pressure_min,0.0
mean_arterial_pressure_mean,0.0
temperature_max,0.0
blood_pressure_dia_min,0.0
temperature_min,0.0
heart_rate_std,0.0
blood_pressure_sys_min,0.0
heart_rate_min,0.0
respiration_rate_min,0.0
blood_pressure_sys_max,0.0
spo2_std,0.0
spo2_max,0.0
spo2_min,0.0
blood_pressure_sys_std,0.0
blood_pressure_dia_max,0.0
respiration_rate_max,0.0
