feature,mean_abs_shap,xgb_importance
comorbidity_count,0.012560584,0.06068894
age,0.010171649,0.062262587
length_of_stay,0.010166603,0.058478136
admission_source,0.006068986,0.061406344
actual_cost,0.0059983176,0.061789516
admission_type,0.005550991,0.06673852
annual_income_band,0.004714244,0.06072711
insurance_plan_type,0.00447661,0.048778474
discharge_status,0.002580815,0.05475335
surgery_performed,0.0019022088,0.058084674
has_copd,0.0,0.0
has_ckd,0.0,0.0
has_heart_failure,0.0,0.0
has_hypertension,0.0,0.0
has_diabetes,0.0,0.0
blood_group,0.0,0.0503772
marital_status,0.0,0.05110083
ethnicity,0.0,0.06244908
gender,0.0,0.0632017
drg_code,0.0,0.060509395
icu_hours,0.0,0.05843781
ward,0.0,0.060216315
has_depression,0.0,0.0
